pretprocesiranje,odlike,model,cv_macroF1_sr,cv_macroF1_std,test_macroF1,test_tacnost,hiperparametri,vreme_s
lower,TFIDF,MultinomialNB,0.6110072179299957,0.030626523496064855,0.656289722845908,0.6563573883161512,"{""clf__alpha"": 0.1}",6.5
lower+stem,TF,LinearSVM,0.6090102272856014,0.006591968914961106,0.6467611313624192,0.6494845360824743,"{""clf__C"": 0.01}",43.4
lower+stem,TF,LogRegresija,0.6084701455278752,0.005900414242414196,0.6482451600797751,0.6494845360824743,"{""clf__C"": 0.1}",40.9
lower,TF,MultinomialNB,0.6073710853923068,0.027529664683468343,0.6801952862119087,0.6804123711340206,"{""clf__alpha"": 0.1}",10.9
lower+lema,TF,MultinomialNB,0.6068037974806456,0.021158871849122733,0.6464452162555289,0.6460481099656358,"{""clf__alpha"": 2.0}",44.9
lower,IDF,MultinomialNB,0.6067526775507004,0.02213892402496503,0.6835015920443057,0.6838487972508591,"{""clf__alpha"": 0.1}",10.1
lower,TFIDF_1-3,MultinomialNB,0.6064561520452451,0.01915177712088211,0.6525407369556578,0.6529209621993127,"{""clf__alpha"": 0.1}",24.3
lower+lema,TF,LinearSVM,0.6013043266474825,0.007532828816811904,0.6550640523608352,0.6563573883161512,"{""clf__C"": 0.01}",35.0
lower+lema,TF,LogRegresija,0.6008885188818323,0.014690511459691923,0.6553810495181533,0.6563573883161512,"{""clf__C"": 1}",35.3
lower,TF,LogRegresija,0.5965948468176833,0.017966105609235665,0.6518181005985885,0.6529209621993127,"{""clf__C"": 0.1}",12.2
lower,TF,LinearSVM,0.5929211620893547,0.013205941497278028,0.6591001864822402,0.6597938144329897,"{""clf__C"": 0.01}",12.3
lower,TF,Vecinski,0.17017638421147194,0.00043416454614779535,0.17050298380221654,0.3436426116838488,{},5.0
lower+stem,TF,Vecinski,0.17017638421147194,0.00043416454614779535,0.17050298380221654,0.3436426116838488,{},24.4
lower+lema,TF,Vecinski,0.17017638421147194,0.00043416454614779535,0.17050298380221654,0.3436426116838488,{},17.8
