pretprocesiranje,odlike,model,cv_macroF1_sr,cv_macroF1_std,test_macroF1,test_tacnost,hiperparametri,vreme_s
lower+lema,IDF,LogRegresija,0.643351046203357,0.01750369446966802,0.6481535321498318,0.6494845360824743,"{""clf__C"": 1}",274.0
lower+lema,TFIDF_1-3,LogRegresija,0.642702581633358,0.033707537068072356,0.6623792091923294,0.6632302405498282,"{""clf__C"": 10}",174.3
lower+lema,TFIDF,LogRegresija,0.6423875147868277,0.01932500681778545,0.6600396725616741,0.6597938144329897,"{""clf__C"": 1}",178.2
lower+lema,CHAR_3-5,LogRegresija,0.6420285340983662,0.01699548842787295,0.6723440421553629,0.6735395189003437,"{""clf__C"": 1}",218.1
lower+stem,IDF,LogRegresija,0.6401120598092234,0.020558863460963795,0.6637945872701971,0.6632302405498282,"{""clf__C"": 1}",115.9
lower+stem,CHAR_3-5,LinearSVM,0.6392178918804989,0.017394333985991498,0.668427851056959,0.6701030927835051,"{""clf__C"": 0.1}",299.9
lower+lema,TFIDF,LinearSVM,0.6389147544791827,0.02332668234903613,0.6689908204491269,0.6701030927835051,"{""clf__C"": 0.1}",168.9
lower+stem,TFIDF_1-2,MultinomialNB,0.6383685286375866,0.03963041439571843,0.6450213960136307,0.6460481099656358,"{""clf__alpha"": 0.1}",92.9
lower+stem,TFIDF,LogRegresija,0.6379863122642849,0.017191899920774238,0.657681497242511,0.6597938144329897,"{""clf__C"": 1}",97.3
lower+stem,IDF,LinearSVM,0.637813699650234,0.022084824511249712,0.6555961391773749,0.6563573883161512,"{""clf__C"": 0.1}",109.5
lower+stem,TFIDF_1-2,LinearSVM,0.63728052747387,0.025664657191204712,0.6805181707385773,0.6804123711340206,"{""clf__C"": 1}",96.3
lower+lema,TFIDF_1-3,LinearSVM,0.6358100965276984,0.029507851350954538,0.6773340885490419,0.6804123711340206,"{""clf__C"": 0.1}",186.2
lower+stem,REC+CHAR,MultinomialNB,0.6346295425999287,0.03252714919005453,0.6483499386352783,0.6494845360824743,"{""clf__alpha"": 0.01}",297.1
lower+lema,IDF,LinearSVM,0.6321678637940866,0.020975610054109375,0.6440057512327221,0.6460481099656358,"{""clf__C"": 0.1}",273.2
