Pocetak izvrsavanja: 2026-08-04T02:13:15+02:00
Uklonjeno 11 dupliranih tekstova.
Ucitano tekstova: 2908

Pokrecem: lower + BOW + MultinomialNB
  Fold  1/10: accuracy=0.6014, macro-F1=0.6015, najbolje={}
  Fold  2/10: accuracy=0.5876, macro-F1=0.5877, najbolje={}
  Fold  3/10: accuracy=0.5979, macro-F1=0.5985, najbolje={}
  Fold  4/10: accuracy=0.5567, macro-F1=0.5533, najbolje={}
  Fold  5/10: accuracy=0.5876, macro-F1=0.5858, najbolje={}
  Fold  6/10: accuracy=0.6289, macro-F1=0.6276, najbolje={}
  Fold  7/10: accuracy=0.6495, macro-F1=0.6501, najbolje={}
  Fold  8/10: accuracy=0.6357, macro-F1=0.6354, najbolje={}
  Fold  9/10: accuracy=0.6414, macro-F1=0.6407, najbolje={}
  Fold 10/10: accuracy=0.6034, macro-F1=0.6002, najbolje={}

Pokrecem: lower + LOG_TF + LogisticRegression (GridSearch)
  Fold  1/10: accuracy=0.6014, macro-F1=0.6008, najbolje={'classifier__C': 0.1}
  Fold  2/10: accuracy=0.5945, macro-F1=0.5946, najbolje={'classifier__C': 0.1}
  Fold  3/10: accuracy=0.6048, macro-F1=0.6050, najbolje={'classifier__C': 0.1}
  Fold  4/10: accuracy=0.5567, macro-F1=0.5533, najbolje={'classifier__C': 1.0}
  Fold  5/10: accuracy=0.5808, macro-F1=0.5782, najbolje={'classifier__C': 0.1}
  Fold  6/10: accuracy=0.6220, macro-F1=0.6204, najbolje={'classifier__C': 0.1}
  Fold  7/10: accuracy=0.6667, macro-F1=0.6668, najbolje={'classifier__C': 0.1}
  Fold  8/10: accuracy=0.6151, macro-F1=0.6128, najbolje={'classifier__C': 0.1}
  Fold  9/10: accuracy=0.6586, macro-F1=0.6576, najbolje={'classifier__C': 0.1}
  Fold 10/10: accuracy=0.6034, macro-F1=0.6002, najbolje={'classifier__C': 1.0}

Pokrecem: lower + LOG_TF + LinearSVM
  Fold  1/10: accuracy=0.5464, macro-F1=0.5459, najbolje={}
  Fold  2/10: accuracy=0.5773, macro-F1=0.5773, najbolje={}
  Fold  3/10: accuracy=0.6048, macro-F1=0.6044, najbolje={}
  Fold  4/10: accuracy=0.5636, macro-F1=0.5618, najbolje={}
  Fold  5/10: accuracy=0.5979, macro-F1=0.5979, najbolje={}
  Fold  6/10: accuracy=0.6151, macro-F1=0.6147, najbolje={}
  Fold  7/10: accuracy=0.6564, macro-F1=0.6561, najbolje={}
  Fold  8/10: accuracy=0.5979, macro-F1=0.5980, najbolje={}
  Fold  9/10: accuracy=0.6034, macro-F1=0.6025, najbolje={}
  Fold 10/10: accuracy=0.5759, macro-F1=0.5748, najbolje={}

Pokrecem: lower + LOG_TF + LinearSVM (GridSearch)
  Fold  1/10: accuracy=0.5945, macro-F1=0.5944, najbolje={'classifier__C': 0.1}
  Fold  2/10: accuracy=0.5842, macro-F1=0.5840, najbolje={'classifier__C': 0.1}
  Fold  3/10: accuracy=0.6048, macro-F1=0.6051, najbolje={'classifier__C': 0.1}
  Fold  4/10: accuracy=0.5533, macro-F1=0.5500, najbolje={'classifier__C': 0.1}
  Fold  5/10: accuracy=0.5876, macro-F1=0.5864, najbolje={'classifier__C': 0.1}
  Fold  6/10: accuracy=0.6357, macro-F1=0.6351, najbolje={'classifier__C': 0.1}
  Fold  7/10: accuracy=0.6598, macro-F1=0.6594, najbolje={'classifier__C': 0.1}
  Fold  8/10: accuracy=0.6357, macro-F1=0.6357, najbolje={'classifier__C': 0.1}
  Fold  9/10: accuracy=0.6276, macro-F1=0.6263, najbolje={'classifier__C': 0.1}
  Fold 10/10: accuracy=0.6034, macro-F1=0.6012, najbolje={'classifier__C': 0.1}

Pokrecem: lower + IDF + MultinomialNB
  Fold  1/10: accuracy=0.5911, macro-F1=0.5926, najbolje={'classifier__alpha': 1.0}
  Fold  2/10: accuracy=0.5773, macro-F1=0.5746, najbolje={'classifier__alpha': 2.0}
  Fold  3/10: accuracy=0.6323, macro-F1=0.6317, najbolje={'classifier__alpha': 2.0}
  Fold  4/10: accuracy=0.5808, macro-F1=0.5803, najbolje={'classifier__alpha': 2.0}
  Fold  5/10: accuracy=0.5876, macro-F1=0.5872, najbolje={'classifier__alpha': 2.0}
  Fold  6/10: accuracy=0.6564, macro-F1=0.6553, najbolje={'classifier__alpha': 2.0}
  Fold  7/10: accuracy=0.6254, macro-F1=0.6250, najbolje={'classifier__alpha': 2.0}
  Fold  8/10: accuracy=0.6289, macro-F1=0.6276, najbolje={'classifier__alpha': 2.0}
  Fold  9/10: accuracy=0.6172, macro-F1=0.6167, najbolje={'classifier__alpha': 2.0}
  Fold 10/10: accuracy=0.5828, macro-F1=0.5829, najbolje={'classifier__alpha': 2.0}

Pokrecem: lower + IDF + LogisticRegression
  Fold  1/10: accuracy=0.5876, macro-F1=0.5871, najbolje={}
  Fold  2/10: accuracy=0.5911, macro-F1=0.5912, najbolje={}
  Fold  3/10: accuracy=0.6220, macro-F1=0.6222, najbolje={}
  Fold  4/10: accuracy=0.5979, macro-F1=0.5964, najbolje={}
  Fold  5/10: accuracy=0.6048, macro-F1=0.6013, najbolje={}
  Fold  6/10: accuracy=0.6254, macro-F1=0.6245, najbolje={}
